                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.48909,                0.61095,                0.29073,                0.81804,                0.94662,                0.93511,                0.97055,                0.85876,                0.94583,                0.93344,                0.96942,                0.74058,                0.53701,                0.86543,                0.30537,                0.87551,              0.0093961,              0.0093961,              0.0093961
                     63,                0.48509,                0.60157,                0.28842,                0.81923,                0.94648,                0.93444,                0.97072,                0.86767,                0.94614,                0.93537,                0.97011,                0.75897,                0.52633,                0.86621,                0.30622,                0.87363,              0.0093862,              0.0093862,              0.0093862
                     64,                0.50027,                0.63268,                 0.2908,                0.82007,                0.94416,                0.93292,                0.96996,                0.86557,                0.94499,                0.93374,                 0.9698,                0.75112,                0.52493,                0.85044,                 0.3062,                0.87377,              0.0093763,              0.0093763,              0.0093763
                     65,                0.49826,                0.62418,                0.28728,                0.82025,                0.94187,                0.94028,                0.97057,                0.86725,                0.94443,                0.93696,                0.96968,                0.74112,                0.52557,                0.85732,                0.30333,                0.87353,              0.0093664,              0.0093664,              0.0093664
                     66,                0.48942,                0.60664,                0.28484,                0.81936,                  0.943,                0.93787,                0.97083,                0.86749,                 0.9437,                0.93674,                0.97026,                0.74492,                0.52101,                 0.8556,                 0.2982,                0.87333,              0.0093565,              0.0093565,              0.0093565
                     67,                0.49148,                 0.6073,                0.28733,                0.81876,                0.94722,                0.93422,                0.97003,                0.86456,                0.94734,                0.93451,                0.96945,                0.75456,                0.52628,                0.86182,                0.30559,                0.87281,              0.0093466,              0.0093466,              0.0093466
                     68,                0.49663,                0.61941,                0.28901,                0.81978,                0.94463,                0.93674,                0.97219,                0.86832,                0.94472,                0.93584,                0.97055,                0.75116,                0.52606,                0.86012,                0.30256,                 0.8735,              0.0093367,              0.0093367,              0.0093367
                     69,                0.48962,                0.61164,                0.28586,                0.82079,                  0.946,                0.93422,                0.97062,                0.86657,                0.94554,                0.93404,                0.96964,                0.75151,                0.52348,                0.86935,                 0.3057,                0.87225,              0.0093268,              0.0093268,              0.0093268
                     70,                0.49715,                0.62294,                 0.2979,                0.81948,                0.94821,                0.93789,                0.97117,                0.86727,                0.94851,                0.93819,                0.97069,                0.75979,                0.52903,                0.85941,                0.30076,                0.87386,              0.0093169,              0.0093169,              0.0093169
                     71,                0.49282,                0.61728,                0.28841,                0.82132,                0.94566,                0.93689,                0.97048,                0.86622,                0.94412,                0.93537,                0.96993,                 0.7442,                0.52847,                0.85281,                 0.3041,                0.87384,               0.009307,               0.009307,               0.009307
                     72,                0.48741,                0.61665,                0.29301,                0.82076,                0.94536,                0.93485,                0.97018,                0.86436,                0.94584,                0.93381,                0.96926,                 0.7416,                0.52857,                0.86453,                0.30593,                  0.872,              0.0092971,              0.0092971,              0.0092971
                     73,                0.48656,                0.60751,                0.29131,                0.82028,                0.94632,                0.93537,                0.97038,                 0.8655,                0.94548,                0.93563,                 0.9692,                0.74568,                0.52573,                0.86656,                0.30504,                0.87306,              0.0092872,              0.0092872,              0.0092872
                     74,                 0.4962,                0.61345,                0.29352,                0.81862,                0.94318,                0.93422,                0.97106,                0.86906,                0.94467,                0.93195,                0.97022,                0.75479,                0.51797,                0.85619,                0.30374,                0.87217,              0.0092773,              0.0092773,              0.0092773
                     75,                0.49035,                 0.6236,                0.28725,                0.82166,                0.94464,                0.93295,                0.97005,                0.86576,                0.94664,                0.93401,                0.97031,                0.75214,                0.52377,                0.85808,                0.30355,                0.87141,              0.0092674,              0.0092674,              0.0092674
                     76,                0.48489,                0.60356,                0.28688,                0.81857,                0.94418,                0.93701,                0.97085,                0.86683,                0.94348,                0.93726,                0.97021,                0.74159,                0.51931,                0.84882,                0.30545,                 0.8701,              0.0092575,              0.0092575,              0.0092575
                     77,                0.49681,                 0.6175,                 0.2929,                0.82102,                0.94728,                0.93477,                0.97073,                0.86892,                0.94663,                0.93388,                0.97019,                0.76321,                0.52542,                0.87283,                 0.3027,                0.87401,              0.0092476,              0.0092476,              0.0092476
                     78,                0.48239,                0.59987,                0.28719,                0.81979,                0.94781,                0.93032,                0.96959,                0.86341,                0.94962,                0.93047,                0.96968,                0.73851,                0.53299,                0.88033,                0.31104,                0.87582,              0.0092377,              0.0092377,              0.0092377
                     79,                0.48396,                0.60347,                0.29088,                0.81872,                0.94727,                0.93474,                0.96941,                0.86284,                0.94625,                0.93503,                0.96952,                0.74787,                0.52469,                0.86448,                0.30265,                0.87463,              0.0092278,              0.0092278,              0.0092278
                     80,                0.48763,                0.61567,                0.28704,                0.81767,                0.94865,                0.93199,                0.97046,                0.86553,                0.94728,                0.93188,                 0.9694,                0.74526,                0.52378,                0.86876,                0.30269,                0.87506,              0.0092179,              0.0092179,              0.0092179
                     81,                0.48493,                 0.6015,                0.28362,                0.82018,                0.94401,                0.93578,                0.97117,                0.86884,                0.94513,                0.93503,                0.97037,                 0.7586,                0.52583,                0.87188,                0.30163,                 0.8747,               0.009208,               0.009208,               0.009208
                     82,                0.49091,                0.61121,                0.28613,                0.81725,                0.94443,                0.93585,                0.97008,                0.86614,                 0.9446,                0.93627,                 0.9698,                0.75314,                0.52282,                0.87805,                 0.3014,                 0.8775,              0.0091981,              0.0091981,              0.0091981
                     83,                0.48682,                0.60282,                0.28585,                 0.8177,                0.94404,                 0.9351,                0.96999,                0.86483,                 0.9461,                0.93584,                0.97005,                0.74683,                0.52315,                0.86401,                0.30214,                0.87611,              0.0091882,              0.0091882,              0.0091882
                     84,                0.48868,                0.60362,                0.29152,                 0.8187,                0.94539,                0.93786,                 0.9698,                0.86305,                0.94454,                0.93789,                0.96882,                0.74211,                 0.5208,                0.86049,                0.30146,                0.87273,              0.0091783,              0.0091783,              0.0091783
                     85,                0.48352,                0.60717,                0.28584,                0.81837,                0.94718,                0.93686,                 0.9715,                0.86867,                0.94584,                0.93715,                 0.9713,                0.75108,                0.52184,                0.87399,                0.30043,                0.87349,              0.0091684,              0.0091684,              0.0091684
                     86,                0.49097,                0.60929,                 0.2858,                0.81963,                0.94536,                0.93221,                0.97007,                 0.8643,                 0.9456,                 0.9327,                0.96955,                0.73699,                 0.5295,                0.87825,                0.30379,                0.87542,              0.0091585,              0.0091585,              0.0091585
                     87,                0.49438,                0.61147,                0.28635,                0.81913,                0.94698,                0.93559,                 0.9716,                0.86924,                0.94479,                0.93719,                0.97051,                0.75001,                0.52304,                0.86936,                0.30244,                0.87106,              0.0091486,              0.0091486,              0.0091486
                     88,                0.49503,                0.61865,                 0.2872,                0.81922,                0.94458,                0.93689,                0.97017,                0.86568,                 0.9453,                0.93648,                0.96967,                0.74922,                0.52351,                0.87754,                0.30261,                0.87209,              0.0091387,              0.0091387,              0.0091387
                     89,                0.48488,                0.59753,                0.28179,                0.81819,                0.94727,                0.93122,                0.97057,                0.86942,                0.94688,                 0.9321,                0.97065,                0.75001,                0.52304,                0.86146,                0.30007,                0.87488,              0.0091288,              0.0091288,              0.0091288
                     90,                0.49109,                0.61204,                0.28699,                0.81995,                0.94558,                0.93644,                0.97121,                0.86857,                0.94592,                0.93678,                0.97113,                0.74745,                0.52311,                0.86143,                0.30113,                0.87348,              0.0091189,              0.0091189,              0.0091189
                     91,                0.48268,                0.59819,                0.28259,                0.81624,                0.94643,                0.93678,                0.97159,                0.87017,                0.94835,                0.93469,                0.97081,                 0.7522,                0.52235,                0.87049,                 0.3007,                0.87255,               0.009109,               0.009109,               0.009109
                     92,                 0.4846,                0.60592,                0.28892,                0.81967,                0.94584,                0.93503,                 0.9703,                0.86465,                0.94726,                0.93544,                0.97029,                0.75236,                0.52475,                0.87389,                0.30691,                0.87507,              0.0090991,              0.0090991,              0.0090991
                     93,                0.49285,                0.61445,                0.29388,                0.82036,                0.94282,                0.93845,                 0.9702,                 0.8653,                0.94237,                0.93801,                0.96975,                0.74059,                0.52687,                0.87413,                0.30664,                0.87456,              0.0090892,              0.0090892,              0.0090892
