                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.98756,                 1.3158,                 1.2907,                0.82063,                0.68671,                0.43373,                0.49053,                0.37704,                0.65113,                0.41028,                0.45308,                0.25696,                0.98901,                 1.4315,                 1.0498,                0.81571,             0.00034004,             0.00034004,             0.00034004
                     50,                 1.0594,                  1.464,                 1.3008,                0.82537,                0.67533,                0.44354,                0.49834,                0.38001,                0.64416,                0.41834,                0.45619,                 0.2617,                 0.9989,                 1.4044,                 1.0327,                0.81688,             0.00033968,             0.00033968,             0.00033968
                     51,                 1.0096,                 1.3344,                 1.3649,                0.81985,                0.76242,                 0.4473,                0.51011,                0.38687,                0.71969,                0.42133,                0.45597,                 0.2558,                      1,                 1.4398,                0.96753,                0.81518,             0.00033933,             0.00033933,             0.00033933
                     52,                 1.0175,                 1.3979,                 1.2605,                0.82268,                0.63972,                 0.4668,                0.51431,                0.39242,                0.61895,                0.42476,                0.46999,                0.26474,                0.97968,                 1.3834,                0.94567,                0.81535,             0.00033898,             0.00033898,             0.00033898
                     53,                0.98597,                  1.357,                 1.2217,                0.82217,                0.68386,                0.45017,                0.51666,                0.39453,                0.68698,                0.41301,                0.46596,                0.25876,                0.98431,                 1.4047,                0.92938,                0.81726,             0.00033862,             0.00033862,             0.00033862
                     54,                 1.0329,                 1.4011,                 1.2406,                0.82204,                0.79222,                0.44038,                0.53063,                0.40438,                0.74261,                0.41391,                0.47191,                0.26371,                 1.0178,                 1.4682,                0.96553,                0.81939,             0.00033827,             0.00033827,             0.00033827
                     55,                 0.9768,                 1.3614,                 1.2329,                0.82166,                0.65845,                0.50787,                0.54834,                0.42202,                0.71299,                0.45587,                0.49989,                0.28372,                 1.0074,                 1.4325,                0.90198,                0.81654,             0.00033791,             0.00033791,             0.00033791
                     56,                 1.0534,                 1.4371,                 1.3046,                0.82341,                0.56848,                0.49421,                0.52352,                0.39851,                0.55469,                0.46155,                0.47439,                0.26236,                 1.0072,                 1.4222,                0.98644,                0.81606,             0.00033756,             0.00033756,             0.00033756
                     57,                  1.023,                 1.3803,                 1.2813,                0.82207,                0.72595,                0.41722,                0.50513,                0.39068,                0.69403,                   0.39,                0.46198,                0.26261,                0.99415,                 1.4026,                0.95461,                0.81535,             0.00033721,             0.00033721,             0.00033721
                     58,                 1.0277,                 1.4116,                 1.2649,                0.82199,                0.59671,                0.50267,                0.51708,                0.38909,                0.56356,                0.46458,                0.45959,                0.25114,                 1.0054,                 1.4806,                 1.0014,                0.81623,             0.00033685,             0.00033685,             0.00033685
                     59,                 1.0569,                 1.4222,                  1.232,                0.82176,                0.63212,                 0.4864,                0.52147,                0.39828,                0.59384,                 0.4556,                0.47251,                0.26728,                0.97396,                  1.413,                0.96212,                0.81521,              0.0003365,              0.0003365,              0.0003365
                     60,                0.98605,                 1.3677,                 1.1574,                0.82395,                  0.681,                0.49802,                 0.5634,                0.43026,                0.67048,                0.46385,                0.51165,                0.27954,                0.99402,                 1.4088,                0.94315,                0.81574,             0.00033615,             0.00033615,             0.00033615
                     61,                 1.0234,                 1.4058,                 1.1577,                0.82231,                0.67826,                0.52358,                 0.5544,                0.42597,                0.66516,                0.47352,                0.49519,                0.27538,                0.99517,                 1.4171,                0.90676,                0.81387,             0.00033579,             0.00033579,             0.00033579
                     62,                 1.0087,                 1.3994,                 1.1733,                0.82087,                0.66518,                0.52605,                0.53955,                0.39872,                0.57756,                0.48328,                0.46965,                0.25558,                 1.0601,                 1.4982,                0.90562,                0.81501,             0.00033544,             0.00033544,             0.00033544
                     63,                0.97001,                 1.3134,                 1.1452,                0.81917,                0.68162,                0.54455,                0.57163,                0.43315,                0.61634,                0.49687,                0.50777,                 0.2803,                0.96519,                 1.3987,                0.83595,                0.81287,             0.00033509,             0.00033509,             0.00033509
                     64,                 1.0086,                 1.3915,                 1.1156,                 0.8231,                0.66447,                0.50664,                0.55757,                0.42931,                0.62038,                0.46273,                0.49865,                0.27948,                0.97497,                 1.4083,                0.86335,                0.81514,             0.00033473,             0.00033473,             0.00033473
                     65,                0.98127,                 1.3621,                  1.109,                 0.8229,                0.62701,                0.52473,                 0.5573,                0.43121,                0.57681,                0.49301,                0.50733,                0.28365,                 0.9707,                 1.4019,                0.89101,                0.81508,             0.00033438,             0.00033438,             0.00033438
                     66,                0.96966,                 1.3711,                 1.0949,                0.82151,                0.72457,                0.50701,                 0.5846,                0.44316,                0.68759,                0.46627,                0.51564,                0.28414,                0.99102,                 1.4812,                0.88648,                0.81369,             0.00033403,             0.00033403,             0.00033403
                     67,                0.98072,                 1.3442,                 1.0794,                0.81547,                0.73634,                0.49729,                0.58186,                0.44517,                0.69064,                0.46723,                0.52277,                 0.2843,                  0.988,                 1.3895,                0.91055,                0.81356,             0.00033367,             0.00033367,             0.00033367
                     68,                0.99534,                 1.3837,                 1.1444,                0.82152,                0.71246,                0.56407,                0.57369,                0.43581,                0.66916,                0.53292,                0.52009,                0.28145,                0.96813,                 1.4119,                0.84125,                0.81538,             0.00033332,             0.00033332,             0.00033332
                     69,                0.99392,                 1.3329,                  1.017,                0.81656,                0.67604,                0.55263,                0.57344,                0.44157,                0.63798,                0.52055,                0.51656,                0.28672,                0.96842,                 1.3814,                0.84764,                0.81281,             0.00033297,             0.00033297,             0.00033297
                     70,                0.96431,                 1.3034,                 1.0867,                0.81977,                0.57256,                0.56242,                0.58684,                0.45068,                0.61663,                0.52963,                  0.531,                0.29635,                0.94698,                 1.3521,                0.84387,                 0.8117,             0.00033261,             0.00033261,             0.00033261
                     71,                0.97196,                 1.3775,                 1.0418,                 0.8188,                0.69009,                0.54589,                0.58426,                0.45429,                 0.6049,                0.51212,                0.52813,                0.29768,                 0.9476,                 1.3683,                0.84442,                0.81227,             0.00033226,             0.00033226,             0.00033226
                     72,                  1.023,                 1.3644,                 1.0647,                  0.815,                0.66219,                0.56184,                0.61693,                0.47582,                0.58469,                0.52085,                0.54716,                0.30492,                0.96125,                 1.3713,                0.82713,                0.81212,             0.00033191,             0.00033191,             0.00033191
                     73,                0.99345,                 1.3386,                 1.0618,                0.81565,                0.68204,                0.55271,                0.62665,                0.47502,                0.61488,                0.50789,                0.55319,                0.29871,                0.99068,                 1.4259,                0.84371,                0.81314,             0.00033155,             0.00033155,             0.00033155
                     74,                0.94351,                 1.3258,                 1.0281,                0.81879,                0.74046,                0.57389,                0.62908,                0.48944,                0.70501,                0.53274,                0.56734,                0.31549,                0.94897,                 1.3806,                0.83443,                0.81072,              0.0003312,              0.0003312,              0.0003312
                     75,                  1.004,                 1.3951,                 1.0031,                0.81946,                0.75287,                0.58861,                0.63194,                0.49108,                0.70553,                0.54666,                0.56382,                0.31758,                0.96895,                 1.3703,                0.78921,                 0.8126,             0.00033085,             0.00033085,             0.00033085
                     76,                0.95279,                 1.3424,                0.99801,                0.82142,                0.70255,                0.54636,                 0.5912,                  0.458,                0.65579,                0.50878,                0.52896,                0.28992,                0.96161,                 1.3733,                0.84617,                0.81267,             0.00033049,             0.00033049,             0.00033049
                     77,                0.93769,                 1.2896,                 1.0071,                0.81683,                0.67506,                0.58953,                0.63215,                0.48962,                0.57507,                0.54349,                0.55889,                0.31469,                0.95742,                 1.3639,                0.79333,                0.81074,             0.00033014,             0.00033014,             0.00033014
                     78,                0.96047,                 1.3081,                 1.0818,                 0.8175,                0.68697,                0.59287,                0.62166,                 0.4827,                0.63798,                  0.546,                0.55146,                0.30185,                0.97211,                 1.4375,                0.81034,                0.81053,             0.00032979,             0.00032979,             0.00032979
                     79,                 0.9496,                  1.292,                 1.0271,                0.81897,                 0.6349,                0.59194,                0.62413,                0.48254,                0.57718,                0.54174,                0.55159,                0.30801,                0.99554,                 1.3971,                0.81589,                0.81217,             0.00032943,             0.00032943,             0.00032943
                     80,                0.95665,                 1.3083,                0.97258,                0.81865,                0.66479,                0.59039,                0.64753,                 0.4965,                0.59941,                 0.5437,                0.57112,                0.30602,                0.95812,                  1.382,                0.77309,                0.81002,             0.00032908,             0.00032908,             0.00032908
