                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.6613,                 1.2406,                0.92062,                0.64844,                0.55418,                0.57323,                0.29207,                 1.6412,                 1.0047,                0.94909,             0.00032943,             0.00032943,             0.00032943
                     80,                   1.65,                 1.2326,                0.92291,                0.61263,                0.59652,                0.56522,                0.28585,                 1.6359,                0.98716,                0.94697,             0.00032908,             0.00032908,             0.00032908
                     81,                 1.6399,                 1.2195,                0.92001,                0.66729,                0.59775,                0.62104,                0.31516,                 1.6264,                0.93272,                0.94558,             0.00032873,             0.00032873,             0.00032873
                     82,                 1.6902,                 1.2172,                0.91365,                0.63623,                0.56646,                0.61539,                 0.2987,                 1.6833,                 1.0125,                0.95854,             0.00032837,             0.00032837,             0.00032837
                     83,                  1.702,                 1.2017,                0.92073,                0.69659,                0.53599,                0.60797,                0.30687,                 1.6518,                0.97911,                0.95379,             0.00032802,             0.00032802,             0.00032802
                     84,                 1.6646,                 1.2366,                0.91992,                0.72308,                0.53349,                0.61515,                0.31411,                 1.6277,                0.97204,                0.94838,             0.00032767,             0.00032767,             0.00032767
                     85,                 1.6523,                 1.1588,                0.90391,                0.71939,                0.57993,                0.60752,                0.30756,                 1.6285,                0.95811,                0.94993,             0.00032731,             0.00032731,             0.00032731
                     86,                 1.6404,                 1.2369,                0.92262,                0.71207,                0.58013,                0.61605,                0.31137,                 1.6153,                0.95932,                0.94729,             0.00032696,             0.00032696,             0.00032696
                     87,                 1.6588,                 1.2037,                0.92053,                0.66742,                0.57482,                 0.6299,                 0.3136,                  1.621,                 1.0074,                0.94616,             0.00032661,             0.00032661,             0.00032661
                     88,                 1.6433,                 1.1962,                0.92648,                0.66057,                0.61169,                0.62696,                0.31631,                 1.6454,                0.96319,                0.95233,             0.00032625,             0.00032625,             0.00032625
                     89,                 1.6678,                   1.17,                0.91725,                0.66513,                0.62607,                0.62117,                0.31594,                 1.6312,                0.93694,                0.94561,              0.0003259,              0.0003259,              0.0003259
                     90,                 1.6472,                 1.1465,                0.91652,                0.70465,                0.59409,                 0.6328,                0.31904,                 1.6208,                0.93876,                0.94637,             0.00032554,             0.00032554,             0.00032554
                     91,                  1.602,                 1.1056,                 0.9094,                0.73128,                0.63306,                0.66818,                0.33318,                  1.627,                0.90251,                 0.9455,             0.00032519,             0.00032519,             0.00032519
                     92,                 1.6558,                 1.1481,                0.92062,                0.65824,                0.63022,                0.66233,                0.32681,                 1.6342,                0.94105,                 0.9515,             0.00032484,             0.00032484,             0.00032484
                     93,                 1.6521,                 1.1328,                0.92761,                   0.67,                0.61737,                0.66534,                0.33558,                  1.625,                0.94427,                0.95043,             0.00032448,             0.00032448,             0.00032448
                     94,                 1.6477,                 1.0982,                0.91572,                0.61043,                0.68124,                0.65383,                0.32867,                 1.6085,                0.90136,                0.94295,             0.00032413,             0.00032413,             0.00032413
                     95,                 1.6832,                 1.1966,                0.92639,                0.60647,                0.65724,                0.66209,                0.32342,                 1.6591,                0.93484,                 0.9553,             0.00032378,             0.00032378,             0.00032378
                     96,                 1.5972,                 1.0565,                0.91502,                0.60208,                0.67465,                0.64948,                0.32409,                 1.6389,                0.93117,                0.95396,             0.00032342,             0.00032342,             0.00032342
                     97,                 1.6271,                 1.1326,                 0.9135,                0.68293,                0.63655,                0.65678,                0.33158,                 1.6213,                0.91878,                0.94747,             0.00032307,             0.00032307,             0.00032307
                     98,                 1.6055,                 1.0784,                0.91732,                0.71412,                0.64805,                0.69165,                0.34551,                 1.6143,                0.90591,                0.94503,             0.00032272,             0.00032272,             0.00032272
                     99,                 1.5741,                 1.0888,                0.91859,                0.66985,                0.70097,                0.71213,                0.35299,                 1.6342,                0.86261,                0.94524,             0.00032236,             0.00032236,             0.00032236
                    100,                 1.6122,                 1.0779,                0.91616,                0.64747,                0.67591,                0.68938,                0.33423,                 1.6631,                0.93299,                0.95126,             0.00032201,             0.00032201,             0.00032201
                    101,                 1.6506,                 1.1223,                0.91401,                0.63569,                0.62646,                0.66275,                0.32854,                 1.6347,                 1.0264,                0.94961,             0.00032166,             0.00032166,             0.00032166
                    102,                 1.6048,                 1.1062,                0.91972,                0.62447,                0.67757,                0.67504,                0.33961,                 1.6414,                0.87698,                0.95111,              0.0003213,              0.0003213,              0.0003213
                    103,                 1.6233,                 1.0993,                0.92205,                0.66433,                0.69707,                0.71549,                0.35608,                 1.6288,                0.87021,                0.94712,             0.00032095,             0.00032095,             0.00032095
                    104,                 1.5973,                 1.0369,                0.91636,                0.63348,                0.69243,                0.70317,                0.34318,                 1.6192,                 0.8696,                0.94187,              0.0003206,              0.0003206,              0.0003206
                    105,                 1.6752,                 1.0959,                0.91381,                0.63549,                0.69707,                0.66804,                0.33529,                 1.6161,                0.87864,                0.94729,             0.00032024,             0.00032024,             0.00032024
                    106,                 1.6243,                 1.0878,                0.92463,                0.63572,                0.70071,                0.67891,                0.33905,                 1.6119,                0.88672,                0.94711,             0.00031989,             0.00031989,             0.00031989
                    107,                 1.6134,                 1.0351,                0.92218,                0.66622,                0.67239,                0.68874,                 0.3384,                 1.6279,                0.88939,                0.94627,             0.00031954,             0.00031954,             0.00031954
                    108,                 1.6024,                 1.0292,                0.91554,                0.73843,                0.63875,                0.72552,                0.35922,                 1.6273,                0.87808,                0.94517,             0.00031918,             0.00031918,             0.00031918
                    109,                 1.6672,                 1.0803,                0.92823,                0.70121,                0.63694,                0.69955,                0.34853,                 1.6146,                0.87831,                0.94256,             0.00031883,             0.00031883,             0.00031883
                    110,                 1.6047,                 1.0457,                0.91503,                0.66413,                0.69178,                 0.6999,                0.34573,                 1.6089,                0.87093,                0.94499,             0.00031848,             0.00031848,             0.00031848
                    111,                 1.5796,                 1.0078,                0.92109,                0.72332,                0.66969,                0.73608,                0.36736,                 1.6158,                0.82203,                 0.9454,             0.00031812,             0.00031812,             0.00031812
                    112,                  1.589,                 1.0406,                  0.913,                0.62922,                0.69336,                0.69107,                0.34337,                 1.6201,                0.87659,                0.94568,             0.00031777,             0.00031777,             0.00031777
                    113,                 1.6303,                 1.0296,                0.92568,                0.63551,                0.69918,                0.68198,                0.33957,                  1.618,                0.86799,                0.94077,             0.00031742,             0.00031742,             0.00031742
                    114,                 1.6174,                 1.0905,                0.91178,                0.64224,                 0.7267,                0.69175,                0.34917,                  1.623,                0.86003,                 0.9444,             0.00031706,             0.00031706,             0.00031706
                    115,                 1.6281,                 1.0336,                0.91539,                0.64775,                 0.6756,                0.69289,                0.34583,                 1.6316,                0.87745,                0.94752,             0.00031671,             0.00031671,             0.00031671
