                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 0.9925,                0.47903,                 0.8032,                0.98603,                0.97778,                0.98874,                0.73308,                 1.1465,                0.49793,                0.81237,              0.0015135,              0.0015135,              0.0015135
                     95,                 1.0218,                0.48775,                0.80806,                0.98644,                0.98223,                0.98996,                0.76253,                 1.0663,                 0.4932,                0.80806,              0.0015119,              0.0015119,              0.0015119
                     96,                 1.0308,                0.48897,                0.80586,                0.98649,                 0.9817,                 0.9904,                0.75582,                 1.0808,                0.48536,                0.80948,              0.0015102,              0.0015102,              0.0015102
                     97,                 1.0961,                0.50691,                0.80634,                0.98596,                0.98118,                   0.99,                0.77942,                 1.0012,                0.46388,                0.80469,              0.0015086,              0.0015086,              0.0015086
                     98,                0.97796,                0.46752,                0.80481,                0.98725,                0.98326,                0.99048,                0.71703,                 1.2584,                0.53683,                 0.8203,              0.0015069,              0.0015069,              0.0015069
                     99,                 1.0145,                0.48485,                0.80604,                0.98885,                0.98174,                0.99277,                0.78304,                0.95802,                0.45789,                0.80031,              0.0015053,              0.0015053,              0.0015053
                    100,                0.97032,                0.47136,                0.80341,                0.98753,                0.97995,                 0.9911,                0.76658,                 1.0885,                0.48551,                0.80923,              0.0015036,              0.0015036,              0.0015036
                    101,                 1.0661,                0.48302,                0.81084,                0.98403,                0.98275,                0.99169,                0.76257,                  0.933,                0.44926,                0.80042,               0.001502,               0.001502,               0.001502
                    102,                 1.0309,                0.48305,                0.80748,                 0.9868,                  0.977,                0.98918,                0.72504,                 1.2202,                0.51804,                0.82415,              0.0015003,              0.0015003,              0.0015003
                    103,                0.99987,                0.47834,                0.80321,                0.98633,                0.98064,                0.99122,                0.78862,                0.94638,                0.45162,                 0.8016,              0.0014987,              0.0014987,              0.0014987
                    104,                0.95848,                0.47538,                0.79993,                0.98955,                0.98014,                0.99077,                0.77722,                 1.0426,                0.47176,                0.80784,               0.001497,               0.001497,               0.001497
                    105,                0.95733,                0.46381,                0.80261,                0.98605,                0.98334,                0.99001,                0.76691,                 1.0788,                0.48634,                0.81002,              0.0014954,              0.0014954,              0.0014954
                    106,                0.95268,                0.46368,                0.80049,                0.98296,                0.97857,                0.99011,                0.75564,                 1.0502,                0.48743,                0.80761,              0.0014937,              0.0014937,              0.0014937
                    107,                0.98721,                0.46001,                0.80513,                0.98972,                0.97698,                0.98987,                0.76058,                 1.0997,                0.48599,                0.81075,              0.0014921,              0.0014921,              0.0014921
                    108,                0.98615,                0.46071,                0.80405,                0.99067,                 0.9804,                0.99044,                0.76187,                  1.084,                0.47135,                0.81077,              0.0014904,              0.0014904,              0.0014904
                    109,                0.96645,                0.45847,                0.80765,                0.96696,                0.97524,                0.99058,                0.75376,                 1.0998,                0.49844,                0.80971,              0.0014888,              0.0014888,              0.0014888
                    110,                0.95499,                0.45625,                0.79843,                0.98543,                0.98138,                0.99081,                0.79437,                0.99446,                0.45949,                 0.8048,              0.0014871,              0.0014871,              0.0014871
                    111,                0.93567,                0.44882,                0.80014,                0.98653,                0.97729,                 0.9903,                0.79259,                0.97092,                0.44821,                0.80367,              0.0014855,              0.0014855,              0.0014855
                    112,                0.94145,                 0.4526,                0.80224,                0.98802,                0.98096,                0.98925,                0.74088,                 1.1719,                0.50496,                0.81538,              0.0014838,              0.0014838,              0.0014838
                    113,                0.96938,                0.45763,                0.80024,                0.98148,                0.97831,                0.99051,                0.77034,                 1.0344,                0.47865,                0.80308,              0.0014822,              0.0014822,              0.0014822
                    114,                0.96751,                 0.4591,                0.80736,                0.98877,                0.97831,                0.99239,                0.74506,                 1.1078,                0.48397,                0.80973,              0.0014805,              0.0014805,              0.0014805
                    115,                0.94542,                0.45865,                0.80226,                0.98883,                0.97831,                0.99133,                0.77716,                 1.0415,                0.48705,                0.80987,              0.0014789,              0.0014789,              0.0014789
